LocationType,Location,Race,TimeFrame,DataFormat,Income
County,Lincoln,American Indian and Alaska Native,2011-2015,Currency,34792
County,Lincoln,American Indian and Alaska Native,2012-2016,Currency,37143
County,Lincoln,American Indian and Alaska Native,2013-2017,Currency,34844
County,Lincoln,American Indian and Alaska Native,2014-2018,Currency,34375
County,Lincoln,American Indian and Alaska Native,2015-2019,Currency,43125
County,Mason,American Indian and Alaska Native,2005-2009,Currency,"*$52,656"
County,Mason,American Indian and Alaska Native,2006-2010,Currency,"*$52,703"
County,Mason,American Indian and Alaska Native,2007-2011,Currency,"*$54,792"
County,Mason,American Indian and Alaska Native,2008-2012,Currency,"*$48,393"
County,Mason,American Indian and Alaska Native,2009-2013,Currency,"*$48,750"
County,Mason,American Indian and Alaska Native,2010-2014,Currency,52797
County,Mason,American Indian and Alaska Native,2011-2015,Currency,46875
County,Mason,American Indian and Alaska Native,2012-2016,Currency,43409
County,Mason,American Indian and Alaska Native,2013-2017,Currency,34500
County,Mason,American Indian and Alaska Native,2014-2018,Currency,32331
County,Mason,American Indian and Alaska Native,2015-2019,Currency,39063
County,Okanogan,American Indian and Alaska Native,2005-2009,Currency,"*$35,774"
County,Okanogan,American Indian and Alaska Native,2006-2010,Currency,"*$25,921"
County,Okanogan,American Indian and Alaska Native,2007-2011,Currency,"*$47,188"
County,Okanogan,American Indian and Alaska Native,2008-2012,Currency,"*$34,250"
County,Okanogan,American Indian and Alaska Native,2009-2013,Currency,"*$35,978"
County,Okanogan,American Indian and Alaska Native,2010-2014,Currency,31853
County,Okanogan,American Indian and Alaska Native,2011-2015,Currency,34940
County,Okanogan,American Indian and Alaska Native,2012-2016,Currency,33019
County,Okanogan,American Indian and Alaska Native,2013-2017,Currency,36763
County,Okanogan,American Indian and Alaska Native,2014-2018,Currency,41875
County,Okanogan,American Indian and Alaska Native,2015-2019,Currency,45926
County,Pacific,American Indian and Alaska Native,2005-2009,Currency,"*$59,464"
County,Pacific,American Indian and Alaska Native,2006-2010,Currency,"*$36,696"
County,Pacific,American Indian and Alaska Native,2007-2011,Currency,"*$39,167"
County,Pacific,American Indian and Alaska Native,2008-2012,Currency,"*$31,786"
County,Pacific,American Indian and Alaska Native,2009-2013,Currency,"*$30,938"
County,Pacific,American Indian and Alaska Native,2010-2014,Currency,26786
County,Pacific,American Indian and Alaska Native,2011-2015,Currency,25625
County,Pacific,American Indian and Alaska Native,2012-2016,Currency,36250
County,Pacific,American Indian and Alaska Native,2013-2017,Currency,38125
County,Pacific,American Indian and Alaska Native,2014-2018,Currency,27177
County,Pacific,American Indian and Alaska Native,2015-2019,Currency,42857
